complex_name,protein_path,ligand_description,protein_sequence
FC(F)(F)c1cc(NC(=O)c2cc(Nc3cncc(c3)C(=O)N)c(cc2)C)ccc1,input/pdb/2.pdb,FC(F)(F)c1cc(NC(=O)c2cc(Nc3cncc(c3)C(=O)N)c(cc2)C)ccc1,
FC(F)(F)c1cc(NC(=O)c2cc(Nc3cncc(c3)C(=O)N)c(cc2)C)ccc1,input/pdb/3.pdb,FC(F)(F)c1cc(NC(=O)c2cc(Nc3cncc(c3)C(=O)N)c(cc2)C)ccc1,
S1C=2C(=NNC2C=C1C(F)F)C=3Nc4c(ccc(c4)C(O)(CC)CC)C3,input/pdb/16.pdb,S1C=2C(=NNC2C=C1C(F)F)C=3Nc4c(ccc(c4)C(O)(CC)CC)C3,
S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)CC)CC5,input/pdb/16.pdb,S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)CC)CC5,
S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)C=C)CC5,input/pdb/16.pdb,S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)C=C)CC5,
Fc1cc\2c(NC(=O)/C2=C\C=3NC(=C(C(=O)NCCN(CC)CC)C3C)C)cc1,input/pdb/16.pdb,Fc1cc\2c(NC(=O)/C2=C\C=3NC(=C(C(=O)NCCN(CC)CC)C3C)C)cc1,
O=C(NC=1C(=NN(c2c3c(ccc2)cccc3)C1)C(=O)N)N,input/pdb/16.pdb,O=C(NC=1C(=NN(c2c3c(ccc2)cccc3)C1)C(=O)N)N,
S1C(c2ccccc2)=CC=3NN=C(C13)C=4Nc5c(ccc(c5)C(O)(CC)CC)C4,input/pdb/16.pdb,S1C(c2ccccc2)=CC=3NN=C(C13)C=4Nc5c(ccc(c5)C(O)(CC)CC)C4,
S(=O)(=O)(N)c1cc(Nc2nc3c(cn2)ccc4SC(c5ccccc5)=Cc43)ccc1,input/pdb/16.pdb,S(=O)(=O)(N)c1cc(Nc2nc3c(cn2)ccc4SC(c5ccccc5)=Cc43)ccc1,
S1c2c(N=C1NC(=O)[C@@H]3[C@@H](c4ccc(cc4)CN(C)C)C3)ccc(c2)C=5C=NNC5,input/pdb/16.pdb,S1c2c(N=C1NC(=O)[C@@H]3[C@@H](c4ccc(cc4)CN(C)C)C3)ccc(c2)C=5C=NNC5,
O=C(NC=1C=NN(C1)[C@@H](c2ccccc2)CCN(C)C)C3=NNc4c3ccc(c4)C=5C=NNC5,input/pdb/16.pdb,O=C(NC=1C=NN(C1)[C@@H](c2ccccc2)CCN(C)C)C3=NNc4c3ccc(c4)C=5C=NNC5,
O=C(NC=1C(=O)NC=C(c2ccncc2)C1)c3ccccc3,input/pdb/16.pdb,O=C(NC=1C(=O)NC=C(c2ccncc2)C1)c3ccccc3,
Fc1c(N(C(=O)/C=C\CN(C)C)C)cc2N3C(C(=Nc2c1)Nc4c(cccc4)C)=CN=C3,input/pdb/16.pdb,Fc1c(N(C(=O)/C=C\CN(C)C)C)cc2N3C(C(=Nc2c1)Nc4c(cccc4)C)=CN=C3,
O=C(NC=1C=NN(C1)[C@H](c2ccccc2)CCN(C)C)C3=NNC4=C3CCC(C4)(C)C,input/pdb/16.pdb,O=C(NC=1C=NN(C1)[C@H](c2ccccc2)CCN(C)C)C3=NNC4=C3CCC(C4)(C)C,
O=C(NC=1C=NN(C1)Cc2cc(C#N)ccc2)C=3NN=C4C3C=CC=C4,input/pdb/16.pdb,O=C(NC=1C=NN(C1)Cc2cc(C#N)ccc2)C=3NN=C4C3C=CC=C4,
O=C(NC=1C=NN(C1)Cc2cc(C#N)ccc2)C3=NNc4c3ccc(c4)C=5C=NNC5,input/pdb/16.pdb,O=C(NC=1C=NN(C1)Cc2cc(C#N)ccc2)C3=NNc4c3ccc(c4)C=5C=NNC5,
S(=O)(=O)(c1cc(nc(NC2CCC(O)CC2)c1)NC3=NNC(c4ccccc4)=C3)c5ccccc5,input/pdb/16.pdb,S(=O)(=O)(c1cc(nc(NC2CCC(O)CC2)c1)NC3=NNC(c4ccccc4)=C3)c5ccccc5,
S1c2nc(OC)ccc2N=C1Nc3nc(nc(c3)C(F)(F)c4ccc(F)cc4)NC5CCC(O)CC5,input/pdb/16.pdb,S1c2nc(OC)ccc2N=C1Nc3nc(nc(c3)C(F)(F)c4ccc(F)cc4)NC5CCC(O)CC5,
S1C=2C(=NNC2C=C1)C=3Nc4c(ccc(c4)C(O)(CC)CC)C3c5ccc(OC)cc5,input/pdb/16.pdb,S1C=2C(=NNC2C=C1)C=3Nc4c(ccc(c4)C(O)(CC)CC)C3c5ccc(OC)cc5,
O=C1N(N=C(NC2=NNC(=C2)C)c3c1cc(cc3)CN4CCN(CC4)C)C5CCOCC5,input/pdb/16.pdb,O=C1N(N=C(NC2=NNC(=C2)C)c3c1cc(cc3)CN4CCN(CC4)C)C5CCOCC5,
S1c2c(N=C1NC(=O)[C@@H]3[C@@H](c4ccc(cc4)CN(C)C)C3)ccc(c5cnccc5)c2,input/pdb/16.pdb,S1c2c(N=C1NC(=O)[C@@H]3[C@@H](c4ccc(cc4)CN(C)C)C3)ccc(c5cnccc5)c2,
O=C(NC=1C=NN(C1)[C@H](c2ccccc2)CCN(C)C)C3=NNc4c3ccc(c4)C=5C=NNC5,input/pdb/16.pdb,O=C(NC=1C=NN(C1)[C@H](c2ccccc2)CCN(C)C)C3=NNc4c3ccc(c4)C=5C=NNC5,
O=C(NC=1C(=NN(c2c3c(ccc(OC(C)C)c3)ccc2)C1)C(=O)N)N,input/pdb/16.pdb,O=C(NC=1C(=NN(c2c3c(ccc(OC(C)C)c3)ccc2)C1)C(=O)N)N,
P(=O)(OP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O,input/pdb/16.pdb,P(=O)(OP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O,
O=C(Nc1ccc(cc1)C(C)C)c2cc(ccc2)C3=NN(c4ncnc(N)c43)[C@@H]5CN(C(=O)CC)CCC5,input/pdb/16.pdb,O=C(Nc1ccc(cc1)C(C)C)c2cc(ccc2)C3=NN(c4ncnc(N)c43)[C@@H]5CN(C(=O)CC)CCC5,
O=C1NCc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7cccc8)c21)C[C@@H](NC)[C@H]6OC)C,input/pdb/16.pdb,O=C1NCc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7cccc8)c21)C[C@@H](NC)[C@H]6OC)C,
O=C(Nc1cc(ccc1)C(C)(C)C)c2cc(ccc2)C3=NN(c4ncnc(N)c43)[C@H]5CN(C(=O)C=C)CCC5,input/pdb/16.pdb,O=C(Nc1cc(ccc1)C(C)(C)C)c2cc(ccc2)C3=NN(c4ncnc(N)c43)[C@H]5CN(C(=O)C=C)CCC5,
O=C(NC=1C(=NN(c2c3c(ccc(OC)c3)ccc2)C1)C(=O)N)N,input/pdb/16.pdb,O=C(NC=1C(=NN(c2c3c(ccc(OC)c3)ccc2)C1)C(=O)N)N,
O=C(NC=1C(=O)NC=C(c2nc(ncc2)NC)C1)c3ccc(N4CCCCC4)cc3,input/pdb/16.pdb,O=C(NC=1C(=O)NC=C(c2nc(ncc2)NC)C1)c3ccc(N4CCCCC4)cc3,
