complex_name,protein_path,ligand_description,protein_sequence
P(=O)(OP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O,input/pdb/6224.pdb,P(=O)(OP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O,
O=C1NCc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7cccc8)c21)C[C@@H](NC)[C@H]6OC)C,input/pdb/6224.pdb,O=C1NCc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7cccc8)c21)C[C@@H](NC)[C@H]6OC)C,
O=C(N)c1c(OC)cc(cc1)C=2N3N=C(NC(C)C)C=CC3=NC2,input/pdb/6224.pdb,O=C(N)c1c(OC)cc(cc1)C=2N3N=C(NC(C)C)C=CC3=NC2,
Clc1c(S(=O)(=O)Nc2c3c(c(Oc4ncccc4c5nc(ncc5)NC6CCC(N)CC6)c(c2)C)cccc3)cccc1,input/pdb/6224.pdb,Clc1c(S(=O)(=O)Nc2c3c(c(Oc4ncccc4c5nc(ncc5)NC6CCC(N)CC6)c(c2)C)cccc3)cccc1,
Clc1c(Cl)ccc(c1)CN2C[C@]3(CN(C(=O)NCc4ccc(cc4)C)CCC3)CC2,input/pdb/6224.pdb,Clc1c(Cl)ccc(c1)CN2C[C@]3(CN(C(=O)NCc4ccc(cc4)C)CCC3)CC2,
c1cc2c(cc1c3cnc4n3nc(cc4NCC5CC5)Cl)c[nH]n2,input/pdb/6224.pdb,c1cc2c(cc1c3cnc4n3nc(cc4NCC5CC5)Cl)c[nH]n2,
CC(C)Nc1cc(nn2c1ncc2c3ccc4c(c3)c[nH]n4)Cl,input/pdb/6224.pdb,CC(C)Nc1cc(nn2c1ncc2c3ccc4c(c3)c[nH]n4)Cl,
Cc1ccc2c(c1Oc3c(cccn3)c4ccnc(n4)N[C@H]5CCCNC5)cccc2NS(=O)(=O)c6ccccc6Cl,input/pdb/6224.pdb,Cc1ccc2c(c1Oc3c(cccn3)c4ccnc(n4)N[C@H]5CCCNC5)cccc2NS(=O)(=O)c6ccccc6Cl,
O=C(Nc1c2c(c(Oc3ncccc3c4nc(ncc4)N[C@@H]5CNCCC5)c(cc2)C)ccc1)C#CC,input/pdb/6224.pdb,O=C(Nc1c2c(c(Oc3ncccc3c4nc(ncc4)N[C@@H]5CNCCC5)c(cc2)C)ccc1)C#CC,
O=C(OCC)Nc1c2c(c(Oc3ncccc3c4nc(ncc4)N[C@@H]5CNCCC5)c(cc2)C)ccc1,input/pdb/6224.pdb,O=C(OCC)Nc1c2c(c(Oc3ncccc3c4nc(ncc4)N[C@@H]5CNCCC5)c(cc2)C)ccc1,
O=C(OC)Nc1c2c(c(Oc3ncccc3c4nc(ncc4)N[C@@H]5CNCCC5)c(cc2)C)ccc1,input/pdb/6224.pdb,O=C(OC)Nc1c2c(c(Oc3ncccc3c4nc(ncc4)N[C@@H]5CNCCC5)c(cc2)C)ccc1,
Fc1c(c(F)ccc1)C=2C=NC3=NNC(C=4N=C(N5CCC(O)CC5)NC(=O)C4)=C3C2,input/pdb/6224.pdb,Fc1c(c(F)ccc1)C=2C=NC3=NNC(C=4N=C(N5CCC(O)CC5)NC(=O)C4)=C3C2,
Clc1c(NC(=O)C=2c3ncnc(NC4CCC(N)CC4)c3SC2)c(F)c(NS(=O)(=O)c5c(F)ccc(F)c5)cc1,input/pdb/6224.pdb,Clc1c(NC(=O)C=2c3ncnc(NC4CCC(N)CC4)c3SC2)c(F)c(NS(=O)(=O)c5c(F)ccc(F)c5)cc1,
Clc1c(NC(=O)c2c3ncnc(N)c3cc(c2)C=4C(=NN(C4)C)C)c(F)c(NS(=O)(=O)c5c(F)cccc5)cc1,input/pdb/6224.pdb,Clc1c(NC(=O)c2c3ncnc(N)c3cc(c2)C=4C(=NN(C4)C)C)c(F)c(NS(=O)(=O)c5c(F)cccc5)cc1,
c1ccc2c(c1)c(ccc2Oc3c(cccn3)c4ccnc(n4)N[C@H]5CCCNC5)NS(=O)(=O)CC(F)(F)F,input/pdb/6224.pdb,c1ccc2c(c1)c(ccc2Oc3c(cccn3)c4ccnc(n4)N[C@H]5CCCNC5)NS(=O)(=O)CC(F)(F)F,
